date,cams_no2_daily,temp_2m_mean,temp_2m_min,wind_speed_mean,wind_speed_min,wind_dir_mean,precip_sum,blh_mean,blh_min,temp_850_mean,inversion_flag,stagnation_flag,sirocco_flag,rain_flag,doy_sin,doy_cos,no2_lag1,no2_lag2,no2_lag3,no2_lag7,no2_ma7
2021-01-08,57.267902,18.959833,14.889,17.576698,8.64,196.15953,0.0,466.04166,80.0,,1,0,1,0,0.13727877211326478,0.9905324521322229,97.85146,64.933685,50.59416,54.472145,65.53921726771763
2021-01-09,57.087532,20.928583,15.589,18.980352,9.422101,188.98344,0.0,402.5,65.0,,1,0,1,0,0.15430882066428117,0.9880226656636976,57.267902,97.85146,64.933685,45.27321,67.2269777570452
2021-01-10,72.870026,16.299416,13.738999,13.273129,6.9247384,191.8716,0.4,316.66666,55.0,,1,0,1,0,0.1712931441814776,0.9852201067560606,57.087532,57.267902,97.85146,53.480103,69.99696677071708
2021-01-11,55.374004,14.470249,11.289,10.479085,4.1046314,242.31612,1.9,460.20834,95.0,,1,0,0,0,0.1882267098432442,0.9821256058680006,72.870026,57.087532,57.267902,89.374,65.13982445853097
2021-01-12,65.20425,11.916083,10.339,24.46609,8.14587,298.9409,4.1,1215.625,95.0,,1,0,0,1,0.2051044998686192,0.9787400799669153,55.374004,72.870026,57.087532,50.59416,67.22697993687221
2021-01-13,47.798405,13.697333,11.289,25.526678,18.532133,300.8323,0.0,1314.7916,820.0,,0,0,0,0,0.2219215130041655,0.9750645322571948,65.20425,55.374004,72.870026,64.933685,64.77908270699638
2021-01-14,79.45358,14.097333,11.238999,17.418867,12.57426,283.85645,0.0,832.2917,300.0,,1,0,0,0,0.2386727660059501,0.9711000518829505,47.798405,65.20425,55.374004,97.85146,62.150814056396484
2021-01-15,51.405834,13.453583,10.889,21.013134,11.928989,287.52557,0.0,1076.875,445.0,,1,0,0,0,0.255353295116187,0.9668478136052775,79.45358,47.798405,65.20425,57.267902,61.313375745500835
2021-01-16,52.12732,11.997334,10.238999,24.24405,19.66536,306.92178,0.0,1088.5416,660.0,,0,0,0,0,0.2719581575341055,0.9623090774541486,51.405834,79.45358,47.798405,57.087532,60.6047739301409
2021-01-17,54.562332,12.726499,9.488999,19.582735,15.175612,298.6284,0.0,930.0,345.0,,1,0,0,0,0.288482432880609,0.9574851883550393,52.12732,51.405834,79.45358,72.870026,57.98938914707729
2021-01-18,65.02387,12.99525,10.188999,20.19467,10.97262,313.3063,0.0,888.75,295.0,,1,0,0,0,0.30492122465628907,0.9523775757303974,54.562332,52.12732,51.405834,55.374004,59.36794172014509
2021-01-19,72.96021,11.547333,7.689,9.6955595,2.5959969,247.26044,0.0,452.29166,110.0,,1,0,0,0,0.3212696616923644,0.9469877530760753,65.02387,54.562332,52.12732,65.20425,60.47593688964844
2021-01-20,55.73475,13.178582,8.988999,22.811674,17.283749,197.7893,0.0,601.0417,280.0,,1,0,1,0,0.3375228995941133,0.9413173175128471,72.96021,65.02387,54.562332,47.798405,61.60970033918108
2021-01-21,73.77189,14.020249,10.639,15.936835,2.4149535,199.38515,0.0,451.875,35.0,,1,0,1,0,0.3536761221763716,0.9353679493131483,55.73475,72.96021,65.02387,79.45358,60.79802976335798
2021-01-22,107.77187,13.136916,6.089,11.768436,3.563818,210.26227,0.0,352.08334,25.0,,1,0,1,0,0.3697245428906731,0.9291414114031743,73.77189,55.73475,72.96021,51.405834,68.85032108851841
2021-01-23,58.71087,14.503583,10.839,14.192124,2.3051248,276.6318,0.4,620.8333,35.0,,1,0,0,0,0.38566340624360707,0.9226395488404876,107.77187,73.77189,55.73475,52.12732,69.79082815987724
2021-01-24,47.61804,14.947333,9.589,16.692783,8.287822,248.99171,0.0,707.9167,75.0,,1,0,0,0,0.401487989205973,0.9158642882672872,58.71087,107.77187,73.77189,54.562332,68.79878616333008
2021-01-25,77.920425,15.24525,10.738999,11.918274,3.6,235.96863,0.0,405.20834,35.0,,1,0,0,0,0.4171936026123168,0.9088176373395029,47.61804,58.71087,107.77187,65.02387,70.64115088326591
2021-01-26,64.39258,13.501499,10.889,22.29721,2.0991426,311.74673,0.8,1003.75,25.0,,1,0,0,0,0.4327755925504312,0.901501684131884,77.920425,47.61804,58.71087,72.96021,69.41720308576312
2021-01-27,87.20955,13.053582,8.938999,12.624,3.219938,245.33362,0.3,613.5417,15.0,,1,0,0,0,0.4482293417404106,0.893918596519257,64.39258,77.920425,47.61804,55.73475,73.91360310145787
2021-01-28,113.54376,16.274416,13.738999,14.254406,8.699793,288.20996,0.0,676.25,60.0,,1,0,0,0,0.4635502709028509,0.886070621534138,87.20955,64.39258,77.920425,73.77189,79.59529931204659
2021-01-29,109.21484,18.34525,12.539,9.802201,6.28713,258.29922,0.0,277.08334,35.0,,1,0,0,0,0.47873384011578846,0.8779600847008882,113.54376,87.20955,64.39258,107.77187,79.80143792288644
2021-01-30,93.07161,19.00775,12.488999,10.226381,6.489992,232.43803,0.0,297.08334,65.0,,1,0,0,0,0.4937755501599772,0.869589389346611,109.21484,113.54376,87.20955,58.71087,84.71011516026088
2021-01-31,50.32361,16.009832,12.789,19.190128,9.531505,301.29034,0.3,1151.6666,125.0,,1,0,0,0,0.5086709438521044,0.8609610158889943,93.07161,109.21484,113.54376,47.61804,85.09662519182477
2021-02-01,48.97082,14.438999,11.238999,17.702177,15.596767,257.24698,0.8,638.5417,235.0,,1,0,0,0,0.5234156073655503,0.8520775211013093,50.32361,93.07161,109.21484,77.920425,80.96096747262138
2021-02-02,54.29178,15.970249,12.089,15.133885,10.315115,301.83618,0.2,734.1667,210.0,,1,0,0,0,0.5380051715382996,0.8429415373547828,48.97082,50.32361,93.07161,64.39258,79.51799610682896
2021-02-03,84.68435,15.926499,9.988999,11.660409,5.1544156,211.16347,0.0,280.83334,40.0,,1,0,1,0,0.5524353131676196,0.8335557718385699,54.29178,48.97082,50.32361,87.20955,79.15725326538086
2021-02-04,62.228115,17.968166,11.839,15.613114,12.904882,204.87929,0.0,325.625,140.0,,1,0,1,0,0.5667017562911176,0.8239230057575542,84.68435,54.29178,48.97082,113.54376,71.82644653320312
2021-02-05,50.143234,19.366083,14.389,19.794756,17.906157,199.61426,0.0,470.0,225.0,,1,0,1,0,0.5808002734538009,0.8140460935082178,62.228115,84.68435,54.29178,109.21484,63.38764517647879
2021-02-06,56.366047,18.182749,12.589,15.246455,11.966953,179.92003,0.0,257.08334,75.0,,1,0,1,0,0.5947266869607634,0.8039279618328213,50.143234,62.228115,84.68435,93.07161,58.14399337768555
2021-02-07,42.56764,18.641083,13.039,14.722148,6.9527545,216.87373,3.9,492.91666,145.0,,1,0,1,1,0.6084768701151261,0.7935716089521474,56.366047,50.143234,62.228115,50.32361,57.035997663225444
2021-02-08,56.185673,15.68275,11.238999,14.760465,9.346143,227.13342,0.0,658.3333,190.0,,1,0,0,0,0.6220467484408675,0.7829801036770628,42.56764,56.366047,50.143234,48.97082,58.06669071742466
2021-02-09,41.48541,17.061916,13.289,14.996434,2.1897945,222.95515,0.0,637.9167,195.0,,1,0,0,0,0.6354323008901774,0.7721565844991642,56.185673,42.56764,56.366047,54.29178,56.23720932006836
2021-02-10,36.976128,19.159834,14.889,22.951555,13.830749,244.7158,0.0,755.2083,385.0,,1,0,0,0,0.6486295610349814,0.7611042586607747,41.48541,56.185673,42.56764,84.68435,49.421749114990234
2021-02-11,52.75862,15.886916,11.539,15.723977,5.6920996,260.76627,0.3,880.2083,35.0,,1,0,0,0,0.6616346182422783,0.7498264012045686,36.976128,41.48541,56.185673,62.228115,48.068964276994976
2021-02-12,86.39788,14.943166,8.488999,8.637681,3.319036,183.38795,0.0,292.29166,30.0,,1,0,1,0,0.6744436188329455,0.7383263540031065,52.75862,36.976128,41.48541,50.143234,53.248199462890625
2021-02-13,54.02122,15.699416,12.789,19.960363,5.904439,293.05447,0.4,925.8333,95.0,,1,0,0,0,0.6870527672236669,0.7266075247685656,86.39788,52.75862,36.976128,56.366047,52.913224356515066
2021-02-14,27.14589,11.434833,9.539,28.31115,21.749481,346.36377,0.0,1335.4166,885.0,,0,0,0,0,0.6994583270516471,0.7146733860429609,54.02122,86.39788,52.75862,42.56764,50.71011734008789
2021-02-15,29.22016,10.191083,8.938999,24.895857,18.806337,94.41821,0.0,1573.75,945.0,,0,0,0,0,0.7116566222817746,0.7025274741691571,27.14589,54.02122,86.39788,56.185673,46.85790116446359
2021-02-16,52.12732,10.693166,6.739,9.795617,4.452954,205.51384,0.0,680.625,165.0,,1,0,1,0,0.7236440382959124,0.6901733882429719,29.22016,27.14589,54.02122,41.48541,48.378174100603374
2021-02-17,69.984085,12.4140005,4.989,7.2599354,0.71999997,198.0329,0.0,244.375,55.0,,1,0,0,0,0.7354170229639855,0.6776147890466889,52.12732,29.22016,27.14589,36.976128,53.093596594674246
2021-02-18,34.450928,13.824416,9.789,9.583243,5.904439,74.98058,0.0,274.58334,85.0,,1,0,0,0,0.7469720876965552,0.6648553979642865,69.984085,52.12732,29.22016,52.75862,50.47821181161063
2021-02-19,66.64721,14.153584,7.739,12.530858,6.4799995,160.41475,0.0,301.875,50.0,,1,0,1,0,0.7583058084785624,0.6518989958787126,34.450928,69.984085,52.12732,86.39788,47.65668732779367
2021-02-20,47.888588,15.05775,10.688999,14.300762,9.19939,157.55516,0.0,366.66666,130.0,,1,0,1,0,0.7694148268839378,0.6387494220515272,66.64721,34.450928,69.984085,54.02122,46.78059686933245
2021-02-21,41.846153,15.003583,11.238999,14.449506,7.10031,143.76515,0.0,348.75,80.0,,1,0,1,0,0.7802958510707755,0.6254105729852463,47.888588,66.64721,34.450928,27.14589,48.8806345803397
2021-02-22,12.175066,15.778584,13.839,20.44527,12.538134,135.23645,0.0,642.7083,440.0,,1,0,1,0,0.7909456567567772,0.6118864012687243,41.846153,47.888588,66.64721,29.22016,46.44562121800014
